"Timestamp","1. What is your musical taste? Select any genre or singer or group that you enjoy. ","2. How do you listen to music?","3. What is your film taste? Select any movie that you enjoyed watching.","4. What is your TV shows taste? Select any TV series that you enjoyed watching.","5. What are your TV viewing habits?","6. Which of the following social media apps do you regularly use? ","7. How many hours a week do you spend on your smart phone?","8. What is your preferred payment method in shops for amounts less than £20?","9. How old are you?"
"2019/06/14 9:37:52 PM GMT+1","Pop music;Ed Sheeran;The Beatles;The Rolling Stones","I mostly listen to the radio","Start Wars series;Love Actually;2001 Space Odyssey;Back to the Future","Doctor Who;Game of Thrones","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;WhatsApp;Skype;LinkedIn","Between 5 and 10 hours","I mostly use cash","40"
"2019/06/14 9:38:50 PM GMT+1","Classical music","I mostly use the internet","Harry Potter series;Love Actually;Toy Stories series;Back to the Future","Friends;Downtown Abbey;The Inbetweeners","I mostly watch recorded programs on my TV","Facebook;WhatsApp","Between 10 and 20 hours","I mostly use cards","17"
"2019/06/14 9:39:55 PM GMT+1","Punk Rock music;The Beatles;The Rolling Stones","I mostly listen to the radio","Start Wars series;2001 Space Odyssey;Back to the Future","None of the above tv shows","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;WhatsApp;Skype;LinkedIn","Between 2 and 5 hours","I mostly use cards","41"
"2019/06/14 9:41:10 PM GMT+1","Punk Rock music;Pop music;Billie Eilish;5 Seconds of Summer","I mostly use the internet","Harry Potter series","Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Pinterest","Between 10 and 20 hours","I mostly use cash","13"
"2019/06/14 9:42:53 PM GMT+1","Folk music;Pop music;Ed Sheeran;The Beatles","I mostly listen to the radio","It's a Wonderful Life;Harry Potter series;Love Actually;Casablanca","Downtown Abbey;Gavin and Stacey","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;WhatsApp;Skype","Between 5 and 10 hours","I mostly use cash","42"
"2019/06/14 9:45:17 PM GMT+1","Pop music;Ed Sheeran;Billie Eilish;5 Seconds of Summer","I mostly listen to the radio","Harry Potter series;Toy Stories series","Friends;Gavin and Stacey;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram;Snapchat","Between 20 and 30 hours","I mostly use cards","15"
"2019/06/14 9:46:17 PM GMT+1","Classical music;Folk music;Pop music;The Beatles","I mostly listen to the radio","Casablanca;Apocalypse Now","The Thick of It","I only watch live TV","I don't use any social media app","Between 2 and 5 hours","I mostly use cash","72"
"2019/06/14 9:47:21 PM GMT+1","Punk Rock music","I mostly use the internet","Start Wars series","Doctor Who;Game of Thrones;The Inbetweeners","I don't really watch TV programs","Facebook;WhatsApp;Instagram;Snapchat","Between 20 and 30 hours","I mostly use cards","16"
"2019/06/14 9:48:30 PM GMT+1","Punk Rock music;Folk music;The Beatles;The Rolling Stones;David Bowie","I mostly listen to the radio","Start Wars series;2001 Space Odyssey;Back to the Future;Apocalypse Now","None of the above tv shows","I mostly watch recorded programs on my TV","WhatsApp;Skype;LinkedIn","Between 2 and 5 hours","I mostly use cash","45"
"2019/06/14 9:49:44 PM GMT+1","Pop music;Ed Sheeran","I mostly use Spotify or another music streaming service","Love Actually","Friends;Downtown Abbey;Game of Thrones","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;WhatsApp;Skype;LinkedIn","Between 5 and 10 hours","I mostly use cards","41"
"2019/06/14 9:50:44 PM GMT+1","Pop music;Ed Sheeran;The Beatles;Billie Eilish;The Rolling Stones;David Bowie;5 Seconds of Summer","I mostly use the internet","Harry Potter series;Toy Stories series;Back to the Future","Friends;Doctor Who;Downtown Abbey;Gavin and Stacey;Game of Thrones;The Inbetweeners","I mostly watch recorded programs on my TV","Facebook;WhatsApp;Instagram","Between 20 and 30 hours","I mostly use cards","13"
"2019/06/14 9:51:50 PM GMT+1","Pop music;Ed Sheeran;The Beatles","I mostly use Spotify or another music streaming service","Start Wars series;Harry Potter series;Love Actually;Back to the Future","Friends;Downtown Abbey;Gavin and Stacey;Game of Thrones","I mostly watch recorded programs on my TV","Facebook;WhatsApp;Skype","Between 5 and 10 hours","I mostly use cash","35"
"2019/06/14 9:54:50 PM GMT+1","Classical music","I mostly listen to the radio","None of the above films","The Thick of It","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","I don't use any social media app","Between 2 and 5 hours","I mostly use cash","71"
"2019/06/15 1:39:47 PM GMT+1","Pop music;Ed Sheeran;David Bowie;5 Seconds of Summer","I mostly use Spotify or another music streaming service","Start Wars series;Harry Potter series;Toy Stories series;Back to the Future","Doctor Who;Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram;Snapchat","Between 20 and 30 hours","I mostly use cards","16"
"2019/06/15 1:40:55 PM GMT+1","Classical music","I mostly use Spotify or another music streaming service","Start Wars series;2001 Space Odyssey;Back to the Future","Doctor Who","I mostly watch recorded programs on my TV","Facebook;WhatsApp","Between 10 and 20 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","17"
"2019/06/15 1:43:18 PM GMT+1","Pop music;Ed Sheeran;Billie Eilish;5 Seconds of Summer","I mostly use Spotify or another music streaming service","Harry Potter series;Toy Stories series","Friends;Doctor Who;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram;Snapchat","More than 30 hours","I mostly use cash","16"
"2019/06/15 1:44:24 PM GMT+1","Country music;Pop music;Ed Sheeran","I mostly use the internet","Start Wars series;Toy Stories series;Back to the Future","Game of Thrones","I don't really watch TV programs","Facebook;WhatsApp;Snapchat","Between 10 and 20 hours","I mostly use cards","15"
"2019/06/15 1:46:20 PM GMT+1","Punk Rock music;The Beatles;The Rolling Stones;David Bowie","I mostly use Spotify or another music streaming service","Start Wars series;2001 Space Odyssey;Back to the Future","Doctor Who;Game of Thrones","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;Snapchat","Between 10 and 20 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","15"
"2019/06/15 1:48:45 PM GMT+1","Folk music;Country music;Pop music;Ed Sheeran","I mostly use the internet","Start Wars series;Back to the Future","Friends;Doctor Who;Downtown Abbey","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;Twitter;WhatsApp;Instagram;Snapchat","More than 30 hours","I mostly use cards",""
"2019/06/15 1:48:53 PM GMT+1","","","","","","","","","17"
"2019/06/15 1:50:35 PM GMT+1","Punk Rock music;Ed Sheeran","I mostly use Spotify or another music streaming service","Toy Stories series","Gavin and Stacey;The Thick of It;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Twitter;WhatsApp;Instagram;Skype;LinkedIn","Between 20 and 30 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","25"
"2019/06/15 1:52:13 PM GMT+1","Punk Rock music;Country music;Pop music;Ed Sheeran;Billie Eilish;The Rolling Stones;David Bowie","I mostly use Spotify or another music streaming service","Harry Potter series;Love Actually;Toy Stories series;Back to the Future","Friends;Only Fools and Horses;Doctor Who;Gavin and Stacey;Game of Thrones;The Thick of It;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram;LinkedIn","Between 5 and 10 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","25"
"2019/06/15 1:54:11 PM GMT+1","Classical music;Pop music;Ed Sheeran;David Bowie","I mostly use the internet","Start Wars series;Harry Potter series;2001 Space Odyssey;Back to the Future","Only Fools and Horses;Doctor Who;Downtown Abbey;Game of Thrones","I mostly watch recorded programs on my TV","Facebook;WhatsApp;Instagram","Between 10 and 20 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","18"
"2019/06/15 1:56:37 PM GMT+1","Classical music;Folk music;Country music;The Beatles","I mostly use Spotify or another music streaming service","None of the above films","None of the above tv shows","I don't really watch TV programs","Facebook","Between 5 and 10 hours","I mostly use cash","17"
"2019/06/15 2:06:51 PM GMT+1","Punk Rock music;The Rolling Stones;David Bowie","I mostly  listen to CDs","None of the above films","Only Fools and Horses;Gavin and Stacey;The Thick of It;The Inbetweeners","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","WhatsApp","Less than 2 hours","I mostly use cash","52"
"2019/06/15 2:10:27 PM GMT+1","Pop music","I mostly use Spotify or another music streaming service","Love Actually","Friends;Gavin and Stacey;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram;Snapchat;LinkedIn","Between 5 and 10 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","22"
"2019/06/15 2:11:39 PM GMT+1","Pop music;Ed Sheeran","I mostly use Spotify or another music streaming service","Start Wars series;Harry Potter series;Love Actually;Toy Stories series","Friends;Gavin and Stacey;Game of Thrones;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram;Snapchat","Between 10 and 20 hours","I mostly use cards","21"
"2019/06/15 2:13:30 PM GMT+1","Pop music;Billie Eilish;5 Seconds of Summer","I mostly use the internet","Harry Potter series;Love Actually","Friends;Gavin and Stacey","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram;Pinterest;Snapchat","More than 30 hours","I mostly use cards","18"
"2019/06/15 2:42:38 PM GMT+1","Punk Rock music;Country music;Pop music;Ed Sheeran;The Beatles","I mostly listen to the radio","Harry Potter series;Love Actually;Toy Stories series","Friends;Gavin and Stacey","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;WhatsApp;Pinterest","Between 5 and 10 hours","I mostly use cash","50"
"2019/06/16 9:30:15 AM GMT+1","Pop music;Ed Sheeran;Billie Eilish","I mostly use Spotify or another music streaming service","Harry Potter series","The Next Step","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook","I don't own a smart phone","I mostly use cash","12"
"2019/06/16 9:31:16 AM GMT+1","Pop music","I mostly use the internet","Harry Potter series;Love Actually;Toy Stories series","Friends","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram;Snapchat","Between 20 and 30 hours","I mostly use cards","16"
"2019/06/16 9:32:19 AM GMT+1","Punk Rock music;The Beatles;The Rolling Stones;David Bowie","I mostly  listen to CDs","It's a Wonderful Life;Casablanca","Only Fools and Horses;Downtown Abbey;Gavin and Stacey","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","I don't use any social media app","Between 2 and 5 hours","I mostly use cash","41"
"2019/06/16 9:33:37 AM GMT+1","Pop music;Ed Sheeran;The Beatles;Billie Eilish;The Rolling Stones","I mostly use Spotify or another music streaming service","Toy Stories series;Back to the Future","Doctor Who;Downtown Abbey;Gavin and Stacey;Game of Thrones","I mostly watch recorded programs on my TV","Facebook;Instagram;Snapchat","More than 30 hours","I mostly use cards","17"
"2019/06/16 12:01:35 PM GMT+1","Folk music;Country music","I mostly  listen to CDs","None of the above films","None of the above tv shows","I don't really watch TV programs","Skype","Less than 2 hours","I mostly use cards","57"
"2019/06/16 12:03:05 PM GMT+1","Folk music","I mostly use Spotify or another music streaming service","It's a Wonderful Life;Start Wars series;Harry Potter series;Love Actually;Casablanca;Toy Stories series;2001 Space Odyssey;Apocalypse Now","Friends;Gavin and Stacey;The Thick of It;The Inbetweeners","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;Twitter;WhatsApp;Skype","Between 5 and 10 hours","I mostly use cards","25"
"2019/06/16 5:16:07 PM GMT+1","Pop music;Ed Sheeran;5 Seconds of Summer","I mostly listen to the radio","Start Wars series;Harry Potter series;Toy Stories series;Back to the Future","Friends;Doctor Who;Gavin and Stacey;Game of Thrones;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram;Pinterest;Snapchat;Skype","Between 20 and 30 hours","I mostly use cards","16"
"2019/06/16 5:17:02 PM GMT+1","Classical music;Folk music;The Beatles","I mostly use Spotify or another music streaming service","Love Actually;Casablanca","Downtown Abbey;Gavin and Stacey","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;WhatsApp;Skype","Between 5 and 10 hours","I mostly use cash","41"
"2019/06/16 5:18:04 PM GMT+1","Classical music","I mostly  listen to CDs","None of the above films","None of the above tv shows","I don't really watch TV programs","Facebook;WhatsApp;Snapchat","Between 10 and 20 hours","I mostly use cash","18"
"2019/06/16 5:18:46 PM GMT+1","Classical music","I mostly  listen to CDs","It's a Wonderful Life;Casablanca","Only Fools and Horses;The Thick of It","I only watch live TV","Skype","Between 2 and 5 hours","I mostly use cash","55"
"2019/06/16 5:19:41 PM GMT+1","Pop music;Ed Sheeran","I mostly use the internet","Start Wars series;Harry Potter series;Toy Stories series;Back to the Future","Doctor Who;The Next Step","I mostly watch recorded programs on my TV","I don't use any social media app","I don't own a smart phone","I mostly use cash","9"
"2019/06/16 5:20:40 PM GMT+1","Punk Rock music;Folk music;Pop music;Ed Sheeran;The Beatles;The Rolling Stones;David Bowie","I mostly use Spotify or another music streaming service","Start Wars series;Love Actually;Casablanca;2001 Space Odyssey;Back to the Future;Apocalypse Now","Doctor Who;Game of Thrones;The Thick of It","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;WhatsApp;Skype;LinkedIn","Between 5 and 10 hours","I mostly use cash","42"
"2019/06/16 5:21:42 PM GMT+1","Pop music;Ed Sheeran;The Beatles;Billie Eilish;David Bowie;5 Seconds of Summer","I mostly use Spotify or another music streaming service","Start Wars series;Harry Potter series;Toy Stories series;Back to the Future","Friends;Doctor Who;Gavin and Stacey;Game of Thrones;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram;Pinterest;Snapchat","Between 20 and 30 hours","I mostly use cards","14"
"2019/06/16 5:22:41 PM GMT+1","Classical music;Pop music;Ed Sheeran;The Beatles;Billie Eilish;The Rolling Stones;David Bowie","I mostly use Spotify or another music streaming service","Start Wars series;Harry Potter series;Love Actually;Toy Stories series;Back to the Future","Friends;Doctor Who;Downtown Abbey;Gavin and Stacey","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;Twitter;WhatsApp;Skype;LinkedIn","Between 5 and 10 hours","I mostly use cash","44"
"2019/06/16 5:23:24 PM GMT+1","Punk Rock music","I mostly use Spotify or another music streaming service","None of the above films","Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram;Snapchat;Skype;LinkedIn","Between 20 and 30 hours","I mostly use cards","17"
"2019/06/16 5:24:18 PM GMT+1","Pop music;Ed Sheeran;The Beatles","I mostly use Spotify or another music streaming service","Start Wars series;Harry Potter series;Love Actually;Back to the Future","Friends;Downtown Abbey;Gavin and Stacey","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;WhatsApp;Skype;LinkedIn","Between 10 and 20 hours","I mostly use cards","35"
"2019/06/16 5:25:05 PM GMT+1","Punk Rock music","I mostly use the internet","None of the above films","None of the above tv shows","I don't really watch TV programs","WhatsApp","Between 20 and 30 hours","I mostly use cards","15"
"2019/06/16 5:26:01 PM GMT+1","Punk Rock music;Folk music;The Beatles;The Rolling Stones;David Bowie","I mostly use Spotify or another music streaming service","Start Wars series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Doctor Who;Downtown Abbey","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;WhatsApp;Skype;LinkedIn","Between 10 and 20 hours","I mostly use cash","46"
"2019/06/16 5:27:01 PM GMT+1","Pop music;Ed Sheeran;The Beatles;Billie Eilish;5 Seconds of Summer","I mostly listen to the radio","Start Wars series;Harry Potter series;Toy Stories series","Friends","I don't really watch TV programs","WhatsApp;Instagram;Pinterest;Snapchat","Between 20 and 30 hours","I mostly use cards","15"
"2019/06/16 5:28:25 PM GMT+1","Punk Rock music;Pop music;Ed Sheeran;The Beatles;The Rolling Stones;David Bowie","I mostly listen to the radio","Star Wars series;Harry Potter series;Love Actually;2001 Space Odyssey;Back to the Future;Apocalypse Now","Only Fools and Horses;Doctor Who;Downtown Abbey;Game of Thrones;The Inbetweeners","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;WhatsApp;Skype","Between 10 and 20 hours","I mostly use cash","38"
"2019/06/16 5:29:41 PM GMT+1","Classical music","I mostly use Spotify or another music streaming service","Harry Potter series","None of the above tv shows","I don't really watch TV programs","Facebook;Instagram","Between 10 and 20 hours","I mostly use cards","16"
"2019/06/16 5:30:42 PM GMT+1","Classical music;Folk music;Pop music;The Beatles;The Rolling Stones;David Bowie","I mostly listen to the radio","Casablanca","The Thick of It","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Skype","Between 2 and 5 hours","I mostly use cash","72"
"2019/06/16 5:31:46 PM GMT+1","Pop music;Ed Sheeran;Billie Eilish;David Bowie;5 Seconds of Summer","I mostly use the internet","Star Wars series;Harry Potter series;Toy Stories series;Back to the Future","Doctor Who;The Inbetweeners","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","WhatsApp","Between 10 and 20 hours","I mostly use cards","12"
"2019/06/16 5:33:05 PM GMT+1","Pop music;Ed Sheeran;The Beatles","I mostly listen to the radio","Love Actually","Downtown Abbey","I mostly watch recorded programs on my TV","Facebook;WhatsApp;Skype;LinkedIn","Between 10 and 20 hours","I mostly use cash","44"
"2019/06/16 5:34:14 PM GMT+1","Punk Rock music;Pop music;The Beatles;The Rolling Stones;David Bowie","I mostly use the internet","Star Wars series;Harry Potter series;Back to the Future","Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp","Between 20 and 30 hours","I mostly use cards","15"
"2019/06/16 5:37:24 PM GMT+1","Classical music;Pop music;Ed Sheeran;The Beatles","I mostly listen to the radio","Star Wars series;Love Actually","Downtown Abbey","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;WhatsApp;Skype","Between 5 and 10 hours","I mostly use cash","55"
"2019/06/16 5:38:19 PM GMT+1","Pop music;Ed Sheeran;The Beatles;Billie Eilish;David Bowie;5 Seconds of Summer","I mostly listen to the radio","Star Wars series;Harry Potter series;Toy Stories series;Back to the Future","Friends;Doctor Who;The Inbetweeners","I mostly watch recorded programs on my TV","WhatsApp;Instagram;Pinterest;Snapchat","Between 20 and 30 hours","I mostly use cards","14"
"2019/06/16 5:39:19 PM GMT+1","Punk Rock music;Folk music;The Beatles;The Rolling Stones;David Bowie","I mostly listen to the radio","Star Wars series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Doctor Who;Game of Thrones;The Thick of It","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","WhatsApp;Skype;LinkedIn","Between 5 and 10 hours","I mostly use cash","54"
"2019/06/16 5:40:15 PM GMT+1","Pop music;Ed Sheeran;The Beatles;Billie Eilish;David Bowie;5 Seconds of Summer","I mostly use the internet","None of the above films","None of the above tv shows","I don't really watch TV programs","WhatsApp","Between 20 and 30 hours","I mostly use cash","17"
"2019/06/16 5:41:11 PM GMT+1","Pop music;Ed Sheeran","I mostly listen to the radio","Star Wars series;Harry Potter series","Doctor Who;Gavin and Stacey;Game of Thrones;The Inbetweeners","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;Twitter;WhatsApp;Skype;LinkedIn","Between 20 and 30 hours","I mostly use cash","22"
"2019/06/16 5:41:56 PM GMT+1","Ed Sheeran","I mostly listen to the radio","Star Wars series;Toy Stories series","The Next Step","I mostly watch recorded programs on my TV","I don't use any social media app","I don't own a smart phone","I mostly use cash","10"
"2019/06/17 9:05:02 PM GMT+1","Punk Rock music;Ed Sheeran","I mostly use Spotify or another music streaming service","Star Wars series;Toy Stories series;2001 Space Odyssey;Back to the Future","Gavin and Stacey;The Thick of It","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Twitter;WhatsApp;Instagram;Snapchat","Between 2 and 5 hours","I mostly use cards","17"
"2019/06/17 10:26:29 PM GMT+1","Classical music;Pop music;Ed Sheeran;The Beatles","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Love Actually;Back to the Future","Friends;Doctor Who;Downtown Abbey","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;Twitter;WhatsApp;Skype;LinkedIn","Between 5 and 10 hours","I mostly use cash","44"
"2019/06/17 10:28:04 PM GMT+1","Punk Rock music;Ed Sheeran;The Beatles;The Rolling Stones","I mostly use Spotify or another music streaming service","Star Wars series;Back to the Future","Doctor Who;Game of Thrones;The Inbetweeners","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;Twitter;WhatsApp;Snapchat","Between 10 and 20 hours","I mostly use cards","17"
"2019/06/17 10:30:54 PM GMT+1","Punk Rock music;Folk music;Pop music;The Beatles;The Rolling Stones","I mostly listen to the radio","Star Wars series","Doctor Who;The Thick of It","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Twitter;WhatsApp;Instagram;Snapchat","Between 10 and 20 hours","I mostly use cards","18"
"2019/06/17 10:32:42 PM GMT+1","Classical music;Pop music;The Beatles;The Rolling Stones","I mostly listen to the radio","Star Wars series;2001 Space Odyssey;Apocalypse Now","The Thick of It","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Twitter","Between 2 and 5 hours","I mostly use cash","54"
